fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
fac 23 9999
fac 0 17
fac 5 100
add addff.in 1001
